goal_x,goal_y,goal_angle,base_speed,base_ang_v,pos_tolerance,drive_forwards,goal_z,z_speed,z_accel,comment
0.362933593504,0.00602591614656,0.0,0.36,2.0,0.01,1,0.017696236550172422,55.300739219288815,2.2120295687715528,Starting position
0.362933593504,0.00602591614656,0.0,0.1,0.5,0.01,1,0.1267740690217802,nan,nan,Set to carriage lever insertion height
0.54963988,0.005,-0.11245339189566561,nan,nan,nan,1,0.1267740690217802,nan,nan,Drive into the BP carriage
nan,nan,nan,nan,nan,nan,1,57862.0,nan,nan,Lower BP
0.3683592045592,0.02589981582946,-0.12009824967798055,nan,nan,nan,0,nan,nan,nan,Back out
nan,nan,nan,nan,nan,nan,1,84700.0,nan,nan,Raise to lever height
nan,nan,-0.504807221951983,nan,nan,nan,1,nan,nan,nan,Rotate
0.5398817718119999,-0.05286526929944,-0.14549890618079342,nan,nan,nan,1,nan,nan,nan,Drive behind lever
0.479247115051,-0.04990693512024,0.12946936566939815,nan,nan,nan,0,0.1464452055709519,nan,nan,Pull lever back 1
0.481026046308,-0.04969375516474,0.10801444221564971,nan,nan,nan,0,0.11886562090750816,nan,nan,Push lever down 1
0.476168524785,-0.05020342875644,0.10283566758880713,nan,nan,nan,0,0.11886562090750816,nan,nan,Pull lever back 2
0.469454247353,-0.05089220255654,0.10357549253551923,nan,nan,nan,0,0.105506731935783,nan,nan,Push lever down 2
0.458299669558,-0.05206876800704,0.10826105053108481,nan,nan,nan,0,0.105506731935783,nan,nan,Pull lever back 3
0.458299669558,-0.05206876800704,0.10826105053108481,nan,nan,nan,0,0.09971298408925655,nan,nan,Push lever down 3
0.45834846759509995,-0.052063446078640004,0.10875426716217085,nan,nan,nan,0,0.14958097868764245,nan,nan,Raise up to clear lever
0.458517088104,-0.05202630023074,-0.3487041582031618,nan,nan,nan,1,0.14958097868764245,nan,nan,Rotate
0.4072022374828,-0.03320163200424,-0.3543761494601978,nan,nan,nan,0,0.14958097868764245,nan,nan,Pull back
0.4071258608589,-0.03322477168104,0.05869277910334958,nan,nan,nan,1,0.14958097868764245,nan,nan,Rotate
0.49166340048799995,-0.028389365718639998,0.05869277910334958,nan,nan,nan,1,0.14958097868764245,nan,nan,Position above lever
0.49163889941399996,-0.028390811471439997,0.05893938741890459,nan,nan,nan,1,0.09816279376746144,nan,nan,Push lever all the way down
0.27128294199509995,-0.03970165023424,0.04414288848528436,nan,nan,nan,0,0.14988889320361543,nan,nan,Raise up and pull back
